project_id,deployment_id,placename,longitude,latitude,start_date,end_date,bait_type,bait_description,feature_type,feature_type_methodology,camera_id,quiet_period,camera_functioning,sensor_height,height_other,sensor_orientation,orientation_other,plot_treatment,detection_distance,subproject_name,subproject_design,event_name,event_description,event_type,recorded_by
2002517,CTPC 113,"CTPC 113, Vereda Cupiagua, Aguazul, Casanare",-72.6136,5.2306,2020-12-09 00:00:00,2021-01-29 00:00:00,None,,Other,,2010830,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 082,"CTPC 082, Vereda Unete, Aguazul, Casanare",-72.6152,5.195,2020-12-02 00:00:00,2021-01-18 00:00:00,None,,Other,,2010691,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 020,"CTPC 020, Vereda Aceite Alto, Tauramena, Casanare",-72.7248,4.9955,2020-12-01 00:00:00,2021-01-25 00:00:00,None,,Other,,2010723,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC-124,"CTPC 124, Vereda El Triunfo, Aguazul, Casanare ",-72.5972,5.2587,2020-12-06 00:00:00,2021-02-01 00:00:00,None,,Other,CTPC 124,2012468,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 009,"CTPC 009, vereda Chaparral, Tauramena, Casanare",-72.7136,4.9768,2020-11-27 00:00:00,2021-01-11 00:00:00,None,,Other,,2010887,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 150,"CTPC 150, Vereda Marroquin, Yopal, Casanare",-72.445,5.4955,2020-11-21 00:00:00,2021-01-27 00:00:00,None,,Other,,2010783,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 090,"CTPC 090, vereda Unete, Aguazul, Casanare",-72.6064,5.2057,2020-12-03 00:00:00,2021-01-17 00:00:00,None,,Other,,2010717,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 121,"CTPC 121, Vereda El Triunfo, Aguazul, Casanare",-72.5972,5.2497,2020-12-09 00:00:00,2021-02-02 00:00:00,None,,Other,,2010705,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 041,"CTPC 041, Vereda Bendiciones, Tauramena, Casanare",-72.8129,5.0897,2020-12-10 00:00:00,2021-01-24 00:00:00,None,,Other,,2010686,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 022,"CTPC 022, Vereda Aceite Alto, Tauramena, Casanare",-72.7075,4.9964,2020-12-01 00:00:00,2021-01-12 00:00:00,None,,Other,,2010772,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 140,"CTPC 140, Vereda Morro, Yopal, Casanare",-72.4542,5.4739,2020-11-13 00:00:00,2021-01-15 00:00:00,None,,Other,,2010711,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 114,"CTPC 114, Vereda Cupiagua, Aguazul, Casanare",-72.6035,5.2313,2020-12-05 00:00:00,2021-01-29 00:00:00,None,,Other,,2010763,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 087,"CTPC 087, Vereda Cupiagua, Aguazul, Casanare",-72.6347,5.206,2020-11-28 00:00:00,2021-01-19 00:00:00,None,,Other,,2010811,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 025,"CTPC 025, Vereda Aceite Alto, Tauramena, Casanare",-72.6854,4.9974,2020-11-28 00:00:00,2021-01-13 00:00:00,None,,Other,,2010737,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 031,"CTPC 031, Vereda Aceite Alto, Tauramena, Casanare",-72.6903,5.006,2020-11-28 00:00:00,2021-01-13 00:00:00,None,,Other,,2010775,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 139,"CTPC 139, corregimiento El Morro, Yopal, Casanare",-72.4601,5.4743,2020-11-13 00:00:00,2021-01-15 00:00:00,None,,Other,,2011007,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 003,"CTPC 003, vereda Chaparral , Tauramena, Casanare",-72.7148,4.9693,2020-11-27 00:00:00,2020-12-23 00:00:00,None,,Other,,2010689,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 059,"CTPC 059, vereda Los Lirios, Aguazul, Casanare",-72.7421,5.1589,2020-12-12 00:00:00,2021-01-21 00:00:00,None,,Other,,2010721,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC - 125,"CTPC 125, Vereda El Triunfo, Aguazul, Casanare",-72.5867,5.2593,2020-12-09 00:00:00,2021-02-05 00:00:00,None,,Other,,2012463,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 084,"CTPC 084, Vereda Unete, Aguazul, Casanare",-72.6346,5.1949,2020-12-03 00:00:00,2021-01-19 00:00:00,None,,Other,,2010890,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 043,"CTPC 043, Vereda Bendiciones, Tauramena, Casanare",-72.8137,5.0978,2020-12-10 00:00:00,2021-01-14 00:00:00,None,,Other,,2010753,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 141,"CTPC 141, Vereda Marroquin, Yopal, Casanare",-72.4438,5.4763,2020-11-11 00:00:00,2021-01-10 00:00:00,None,,Other,,2010712,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 026,"CTPC 026, Vereda Aceite Alto, Tauramena, Casanare",-72.7306,5.0064,2020-12-02 00:00:00,2021-01-12 00:00:00,None,,Other,,2010774,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 056,"CTPC 056, vereda Visinaca, Tauramena, Casanare",-72.7448,5.168,2020-12-12 00:00:00,2021-01-15 00:00:00,None,,Other,,2010825,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 116,"CTPC 116, Vereda Unete, Aguazul, Casanare",-72.5881,5.2308,2020-11-21 00:00:00,2021-01-12 00:00:00,None,,Other,,2010831,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 147,"CTPC 147, Vereda Marroquin, Yopal, Casanare",-72.4429,5.4855,2020-11-11 00:00:00,2021-01-26 00:00:00,None,,Other,,2010812,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 046,"CTPC 046, Vereda Zambo, Tauramena, Casanare",-72.8142,5.1058,2020-12-07 00:00:00,2021-01-14 00:00:00,None,,Other,,2010758,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 062,"CTPC 062, vereda Visinaca, Tauramena, Casanare",-72.7398,5.1497,2020-12-11 00:00:00,2021-01-25 00:00:00,None,,Other,,2010736,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
2002517,CTPC 014,"CTPC 014, vereda Chaparral, Tauramena, Casanare",-72.7236,4.9867,2020-12-07 00:00:00,2021-01-13 00:00:00,None,,Other,,2010729,3,Camera Functioning,Knee height,,Parallel,,,,,,,,,
